name,url,address,price,style,photo url
Burgeroom,https://www.openrice.com/en/hongkong/r-burgeroom-causeway-bay-american-hamburger-r189507,"Shop D, G/F, Food Street, 50-56 Paterson Street, Fashion Walk, Causeway Bay",$51-100,American,https://www.openrice.com/en/hongkong/restaurants/cuisine/american
The Cheesecake Factory è_ùæ¨‚åù_é_êå»_,https://www.openrice.com/en/hongkong/r-the-cheesecake-factory-tsim-sha-tsui-international-all-day-breakfast-r523793,"Shop G102, G/F, Gateway Arcade, Harbour City, 25 Canton Road, Tsim Sha Tsui",$101-200,American,https://www.openrice.com/en/hongkong/restaurants/cuisine/american
The Captain's House,https://www.openrice.com/en/hongkong/r-the-captains-house-tsim-sha-tsui-western-seafood-r177602,"18/F, H8, 8 Hau Fook Street, Tsim Sha Tsui",$201-400,Western,https://www.openrice.com/en/hongkong/restaurants/cuisine/western
HeSheEat,https://www.openrice.com/en/hongkong/r-hesheeat-mong-kok-western-ice-cream-yogurt-r147924,"Shop 4, G/F, Ngai Hing Mansion, 22 Pak Po Street, Mong Kok",$51-100,Western,https://www.openrice.com/en/hongkong/restaurants/cuisine/western
Goobne Chicken,https://www.openrice.com/en/hongkong/r-goobne-chicken-tsim-sha-tsui-korean-korean-fried-chicken-r188593,"2/F, The HART, 4 Hart Avenue, Tsim Sha Tsui",$101-200,Korean,https://www.openrice.com/en/hongkong/restaurants/cuisine/korean
Cafe Paradise,https://www.openrice.com/en/hongkong/r-cafe-paradise-prince-edward-western-meatless-menu-r446743,"Shop C, G/F, 23 Boundary Street, Prince Edward",$51-100,Italian,https://www.openrice.com/en/hongkong/restaurants/cuisine/italian
Ramen Bari-Uma éœ¸å—_æ‹‰éºµ,https://www.openrice.com/en/hongkong/r-ramen-bari-uma-tsim-sha-tsui-japanese-ramen-r489275,"G/F, 26 Kimberley Road, Tsim Sha Tsui",$51-100,Japanese,https://www.openrice.com/en/hongkong/restaurants/cuisine/japanese
Deluxe Daikiya Japanese Restaurant æ¥µå°_å_§å–œå±‹æ—¥æœ¬æ–™çê†,https://www.openrice.com/en/hongkong/r-deluxe-daikiya-japanese-restaurant-tsim-sha-tsui-japanese-all-you-can-eat-r166138,"Shop 102, 1/F, Albion Plaza, 2-6 Granville Road, Tsim Sha Tsui",$201-400,Japanese,https://www.openrice.com/en/hongkong/restaurants/cuisine/japanese
Running Chicken ç±_èµ°é›_,https://www.openrice.com/en/hongkong/r-running-chicken-mong-kok-hong-kong-style-chicken-hot-pot-r476804,"2/F, The Lamma City, 761 Nathan Road, Mong Kok",$101-200,Hong Kong Style,https://www.openrice.com/en/hongkong/restaurants/cuisine/hong-kong-style
é__å¿ƒæ®¿åè°å_èé__ç”Ÿéç‹,https://www.openrice.com/en/hongkong/r-%E9%A4%8A%E5%BF%83%E6%AE%BF%E5%8F%B0%E5%BC%8F%E9%A4%8A%E7%94%9F%E9%8D%8B-mong-kok-taiwan-hot-pot-r526080,"Shop 106-112, 1/F, Sun Hing Building, 607 Nathan Road, Mong Kok",$201-400,Taiwan,https://www.openrice.com/en/hongkong/restaurants/cuisine/taiwan
The Stadium,https://www.openrice.com/en/hongkong/r-the-stadium-kwun-tong-american-pizza-r484511,"4/F, The Wave, 4 Hing Yip Street, Kwun Tong",$101-200,American,https://www.openrice.com/en/hongkong/restaurants/cuisine/american
Market Hotpot é®®å…¥åœçç…®,https://www.openrice.com/en/hongkong/r-market-hotpot-mong-kok-guangdong-hot-pot-r175710,"2/F, Dundas Square, 43H Dundas Street, Mong Kok",$201-400,Guangdong,https://www.openrice.com/en/hongkong/restaurants/cuisine/guangdong
Deluxe Daieiki Japanese Restaurant æ¥µå°_å_§ç€›å–œæ—¥æœ¬æ–™çê†,https://www.openrice.com/en/hongkong/r-deluxe-daieiki-japanese-restaurant-causeway-bay-japanese-all-you-can-eat-r468218,"11/F, Causeway Bay Plaza 2, 463-483 Lockhart Road, Causeway Bay",$201-400,Japanese,https://www.openrice.com/en/hongkong/restaurants/cuisine/japanese
Sushi Man é®¨æ–‡,https://www.openrice.com/en/hongkong/r-sushi-man-yuen-long-japanese-omakase-r448668,"Shop 5, G/F,Lee Fat House, No. 5 Yan Lok Square, Yuen Long",Above $801,Japanese,https://www.openrice.com/en/hongkong/restaurants/cuisine/japanese
PAN de PAIN Pancakes & Sweets,https://www.openrice.com/en/hongkong/r-pan-de-pain-pancakes-sweets-tsim-sha-tsui-japanese-dessert-r482866,"Shop B111B, B1/F, K11 Art Mall, 18 Hanoi Road, Tsim Sha Tsui",$51-100,Japanese,https://www.openrice.com/en/hongkong/restaurants/cuisine/japanese